INFO - Connection ready
INFO - DB loaded
INFO - Read in line: 100000
INFO - Read in line: 200000
INFO - Read in line: 300000
INFO - Read in line: 400000
INFO - Read in line: 500000
INFO - Read in line: 600000
INFO - Read in line: 700000
INFO - Read in line: 800000
INFO - Read in line: 900000
INFO - Read in line: 1000000
INFO - Read in line: 1100000
INFO - Read in line: 1200000
INFO - Read in line: 1300000
INFO - Read in line: 1400000
INFO - Read in line: 1500000
INFO - Read in line: 1600000
INFO - Read in line: 1700000
INFO - Read in line: 1800000
INFO - Read in line: 1900000
INFO - Read in line: 2000000
INFO - Read in line: 2100000
INFO - Read in line: 2200000
INFO - Read in line: 2300000
INFO - Read in line: 2400000
INFO - Read in line: 2500000
INFO - Read in line: 2600000
INFO - Read in line: 2700000
INFO - Read in line: 2800000
INFO - Read in line: 2900000
INFO - Read in line: 3000000
INFO - Read in line: 3100000
INFO - Read in line: 3200000
INFO - Read in line: 3300000
INFO - Read in line: 3400000
INFO - Read in line: 3500000
INFO - Read in line: 3600000
INFO - Read in line: 3700000
INFO - Read in line: 3800000
INFO - Read in line: 3900000
INFO - Read in line: 4000000
INFO - Read in line: 4100000
INFO - Read in line: 4200000
INFO - Read in line: 4300000
INFO - Read in line: 4400000
INFO - Read in line: 4500000
INFO - Read in line: 4600000
INFO - Read in line: 4700000
INFO - Read in line: 4800000
INFO - Read in line: 4900000
INFO - Read in line: 5000000
INFO - Read in line: 5100000
INFO - Read in line: 5200000
INFO - Read in line: 5300000
INFO - Read in line: 5400000
INFO - Read in line: 5500000
INFO - Results consumed
INFO - Projects compared
INFO - Dependencies FOUND: 2044401, Not FOUND: 2800218

INFO - Got project pairs
WARN - :io.reactivex.rxjava2:rxjava is null
WARN - :org.jetbrains.kotlin:kotlin-stdlib is null
INFO - There were 226911 pairs where both use semantic versioning
INFO - There were 2912 pairs that were discarded as they don't use semantic versioning
INFO - Dates size: 771
TRACE - Date: 2015-01-30 	 Number: 6935
TRACE - Date: 2015-05-07 	 Number: 6
TRACE - Date: 2015-05-08 	 Number: 40
TRACE - Date: 2015-05-11 	 Number: 510
TRACE - Date: 2015-05-15 	 Number: 158
TRACE - Date: 2015-05-22 	 Number: 2
TRACE - Date: 2015-05-23 	 Number: 12
TRACE - Date: 2015-05-25 	 Number: 66
TRACE - Date: 2015-05-29 	 Number: 291
TRACE - Date: 2015-06-01 	 Number: 23
TRACE - Date: 2015-06-05 	 Number: 450
TRACE - Date: 2015-06-07 	 Number: 450
TRACE - Date: 2015-06-08 	 Number: 372
TRACE - Date: 2015-06-10 	 Number: 238
TRACE - Date: 2015-06-11 	 Number: 5
TRACE - Date: 2015-06-12 	 Number: 125
TRACE - Date: 2015-06-14 	 Number: 35
TRACE - Date: 2015-06-15 	 Number: 57
TRACE - Date: 2015-06-20 	 Number: 300
TRACE - Date: 2015-06-22 	 Number: 491
TRACE - Date: 2015-06-23 	 Number: 450
TRACE - Date: 2015-06-25 	 Number: 150
TRACE - Date: 2015-06-26 	 Number: 357
TRACE - Date: 2015-06-28 	 Number: 419
TRACE - Date: 2015-06-29 	 Number: 8
TRACE - Date: 2015-07-01 	 Number: 600
TRACE - Date: 2015-07-02 	 Number: 3911
TRACE - Date: 2015-07-03 	 Number: 21
TRACE - Date: 2015-07-05 	 Number: 42
TRACE - Date: 2015-07-06 	 Number: 215
TRACE - Date: 2015-07-09 	 Number: 661
TRACE - Date: 2015-07-10 	 Number: 747
TRACE - Date: 2015-07-17 	 Number: 909
TRACE - Date: 2015-07-18 	 Number: 120
TRACE - Date: 2015-07-19 	 Number: 1191
TRACE - Date: 2015-07-20 	 Number: 72
TRACE - Date: 2015-07-23 	 Number: 450
TRACE - Date: 2015-07-24 	 Number: 10
TRACE - Date: 2015-07-25 	 Number: 28
TRACE - Date: 2015-07-26 	 Number: 357
TRACE - Date: 2015-07-27 	 Number: 91
TRACE - Date: 2015-07-31 	 Number: 4892
TRACE - Date: 2015-08-02 	 Number: 9
TRACE - Date: 2015-08-03 	 Number: 673
TRACE - Date: 2015-08-08 	 Number: 22
TRACE - Date: 2015-08-09 	 Number: 1
TRACE - Date: 2015-08-10 	 Number: 12
TRACE - Date: 2015-08-14 	 Number: 18
TRACE - Date: 2015-08-16 	 Number: 43
TRACE - Date: 2015-08-20 	 Number: 58
TRACE - Date: 2015-08-22 	 Number: 67
TRACE - Date: 2015-08-24 	 Number: 190
TRACE - Date: 2015-08-26 	 Number: 76
TRACE - Date: 2015-08-30 	 Number: 8
TRACE - Date: 2015-08-31 	 Number: 659
TRACE - Date: 2015-09-01 	 Number: 84
TRACE - Date: 2015-09-03 	 Number: 29338
TRACE - Date: 2015-09-04 	 Number: 27226
TRACE - Date: 2015-09-06 	 Number: 43
TRACE - Date: 2015-09-11 	 Number: 115
TRACE - Date: 2015-09-12 	 Number: 14
TRACE - Date: 2015-09-13 	 Number: 107
TRACE - Date: 2015-09-14 	 Number: 8
TRACE - Date: 2015-09-20 	 Number: 197
TRACE - Date: 2015-09-25 	 Number: 5089
TRACE - Date: 2015-09-27 	 Number: 16
TRACE - Date: 2015-09-28 	 Number: 1
TRACE - Date: 2015-10-04 	 Number: 42
TRACE - Date: 2015-10-06 	 Number: 58
TRACE - Date: 2015-10-13 	 Number: 363
TRACE - Date: 2015-10-18 	 Number: 932
TRACE - Date: 2015-10-19 	 Number: 189
TRACE - Date: 2015-10-25 	 Number: 21
TRACE - Date: 2015-10-26 	 Number: 4
TRACE - Date: 2015-10-29 	 Number: 80
TRACE - Date: 2015-10-31 	 Number: 7
TRACE - Date: 2015-11-02 	 Number: 513
TRACE - Date: 2015-11-07 	 Number: 48
TRACE - Date: 2015-11-09 	 Number: 139
TRACE - Date: 2015-11-14 	 Number: 141
TRACE - Date: 2015-11-16 	 Number: 168
TRACE - Date: 2015-11-22 	 Number: 119
TRACE - Date: 2015-11-23 	 Number: 173
TRACE - Date: 2015-11-25 	 Number: 17
TRACE - Date: 2015-11-26 	 Number: 4
TRACE - Date: 2015-11-28 	 Number: 289
TRACE - Date: 2015-11-30 	 Number: 176
TRACE - Date: 2015-12-04 	 Number: 508
TRACE - Date: 2015-12-06 	 Number: 95
TRACE - Date: 2015-12-07 	 Number: 204
TRACE - Date: 2015-12-14 	 Number: 307
TRACE - Date: 2015-12-19 	 Number: 5
TRACE - Date: 2015-12-20 	 Number: 5
TRACE - Date: 2015-12-30 	 Number: 67
TRACE - Date: 2016-01-10 	 Number: 30
TRACE - Date: 2016-01-11 	 Number: 14
TRACE - Date: 2016-01-17 	 Number: 150
TRACE - Date: 2016-01-18 	 Number: 245
TRACE - Date: 2016-01-23 	 Number: 6
TRACE - Date: 2016-01-25 	 Number: 40
TRACE - Date: 2016-01-29 	 Number: 32
TRACE - Date: 2016-01-31 	 Number: 22
TRACE - Date: 2016-02-09 	 Number: 6597
TRACE - Date: 2016-02-10 	 Number: 13293
TRACE - Date: 2016-02-19 	 Number: 123
TRACE - Date: 2016-02-24 	 Number: 430
TRACE - Date: 2016-02-28 	 Number: 566
TRACE - Date: 2016-03-01 	 Number: 27
TRACE - Date: 2016-03-06 	 Number: 9
TRACE - Date: 2016-03-08 	 Number: 120
TRACE - Date: 2016-03-11 	 Number: 30
TRACE - Date: 2016-03-13 	 Number: 147
TRACE - Date: 2016-03-15 	 Number: 282
TRACE - Date: 2016-03-26 	 Number: 153
TRACE - Date: 2016-03-27 	 Number: 60
TRACE - Date: 2016-03-31 	 Number: 46
TRACE - Date: 2016-04-03 	 Number: 60
TRACE - Date: 2016-04-05 	 Number: 22
TRACE - Date: 2016-04-10 	 Number: 318
TRACE - Date: 2016-04-12 	 Number: 111
TRACE - Date: 2016-04-17 	 Number: 275
TRACE - Date: 2016-04-18 	 Number: 916
TRACE - Date: 2016-04-22 	 Number: 96
TRACE - Date: 2016-04-24 	 Number: 1650
TRACE - Date: 2016-04-25 	 Number: 46146
TRACE - Date: 2016-04-26 	 Number: 100
TRACE - Date: 2016-05-01 	 Number: 214
TRACE - Date: 2016-05-02 	 Number: 223
TRACE - Date: 2016-05-08 	 Number: 29
TRACE - Date: 2016-05-09 	 Number: 9
TRACE - Date: 2016-05-14 	 Number: 3
TRACE - Date: 2016-06-20 	 Number: 474
TRACE - Date: 2016-06-21 	 Number: 56
TRACE - Date: 2016-06-23 	 Number: 8
TRACE - Date: 2016-06-26 	 Number: 6
TRACE - Date: 2016-06-27 	 Number: 4
TRACE - Date: 2016-07-03 	 Number: 3
TRACE - Date: 2016-07-04 	 Number: 95
TRACE - Date: 2016-07-07 	 Number: 35
TRACE - Date: 2016-07-17 	 Number: 168
TRACE - Date: 2016-07-18 	 Number: 25134
TRACE - Date: 2016-07-24 	 Number: 14
TRACE - Date: 2016-08-01 	 Number: 47
TRACE - Date: 2016-08-02 	 Number: 27
TRACE - Date: 2016-08-07 	 Number: 112
TRACE - Date: 2016-08-09 	 Number: 52
TRACE - Date: 2016-08-14 	 Number: 2
TRACE - Date: 2016-08-16 	 Number: 164
TRACE - Date: 2016-08-25 	 Number: 29
TRACE - Date: 2016-08-28 	 Number: 164
TRACE - Date: 2016-08-30 	 Number: 19
TRACE - Date: 2016-09-04 	 Number: 98
TRACE - Date: 2016-09-06 	 Number: 78
TRACE - Date: 2016-09-11 	 Number: 318
TRACE - Date: 2016-09-12 	 Number: 4
TRACE - Date: 2016-09-13 	 Number: 16
TRACE - Date: 2016-09-20 	 Number: 59
TRACE - Date: 2016-09-21 	 Number: 4
TRACE - Date: 2016-09-25 	 Number: 333
TRACE - Date: 2016-09-27 	 Number: 347
TRACE - Date: 2016-10-02 	 Number: 4
TRACE - Date: 2016-10-04 	 Number: 48
TRACE - Date: 2016-10-06 	 Number: 30
TRACE - Date: 2016-10-09 	 Number: 31
TRACE - Date: 2016-10-16 	 Number: 158
TRACE - Date: 2016-10-23 	 Number: 123
TRACE - Date: 2016-10-25 	 Number: 3
TRACE - Date: 2016-11-06 	 Number: 17
TRACE - Date: 2016-11-09 	 Number: 110
TRACE - Date: 2016-11-13 	 Number: 93
TRACE - Date: 2016-11-15 	 Number: 984
TRACE - Date: 2016-11-22 	 Number: 338
TRACE - Date: 2016-11-26 	 Number: 6
TRACE - Date: 2016-11-27 	 Number: 45
TRACE - Date: 2016-11-29 	 Number: 266
TRACE - Date: 2016-12-03 	 Number: 45
TRACE - Date: 2016-12-04 	 Number: 54
TRACE - Date: 2016-12-06 	 Number: 123
TRACE - Date: 2016-12-08 	 Number: 5
TRACE - Date: 2016-12-11 	 Number: 56
TRACE - Date: 2016-12-13 	 Number: 6
TRACE - Date: 2016-12-19 	 Number: 21
TRACE - Date: 2016-12-24 	 Number: 492
TRACE - Date: 2017-01-07 	 Number: 698
TRACE - Date: 2017-01-08 	 Number: 13422
TRACE - Date: 2017-01-11 	 Number: 594
TRACE - Date: 2017-01-12 	 Number: 33
TRACE - Date: 2017-01-13 	 Number: 8
TRACE - Date: 2017-01-15 	 Number: 11
TRACE - Date: 2017-01-16 	 Number: 4
TRACE - Date: 2017-01-19 	 Number: 187
TRACE - Date: 2017-01-28 	 Number: 1241
TRACE - Date: 2017-01-29 	 Number: 2
TRACE - Date: 2017-02-04 	 Number: 100
TRACE - Date: 2017-02-05 	 Number: 19
TRACE - Date: 2017-02-20 	 Number: 18
TRACE - Date: 2017-02-25 	 Number: 45
TRACE - Date: 2017-02-26 	 Number: 59
TRACE - Date: 2017-02-28 	 Number: 216
TRACE - Date: 2017-03-05 	 Number: 324
TRACE - Date: 2017-03-08 	 Number: 163
TRACE - Date: 2017-03-11 	 Number: 87
TRACE - Date: 2017-03-12 	 Number: 368
TRACE - Date: 2017-03-15 	 Number: 545
TRACE - Date: 2017-03-16 	 Number: 174
TRACE - Date: 2017-03-18 	 Number: 8
TRACE - Date: 2017-03-19 	 Number: 592
TRACE - Date: 2017-03-21 	 Number: 9
TRACE - Date: 2017-03-27 	 Number: 17715
TRACE - Date: 2017-03-29 	 Number: 160
TRACE - Date: 2017-03-30 	 Number: 252
TRACE - Date: 2017-04-03 	 Number: 96
TRACE - Date: 2017-04-10 	 Number: 44
TRACE - Date: 2017-04-11 	 Number: 2700
TRACE - Date: 2017-04-15 	 Number: 39
TRACE - Date: 2017-04-17 	 Number: 259
TRACE - Date: 2017-04-18 	 Number: 1878
TRACE - Date: 2017-04-19 	 Number: 6181
TRACE - Date: 2017-04-20 	 Number: 184
TRACE - Date: 2017-04-21 	 Number: 3726
TRACE - Date: 2017-04-22 	 Number: 3
TRACE - Date: 2017-04-24 	 Number: 2197
TRACE - Date: 2017-04-25 	 Number: 2422
TRACE - Date: 2017-04-26 	 Number: 1407
TRACE - Date: 2017-04-27 	 Number: 2753
TRACE - Date: 2017-04-28 	 Number: 988
TRACE - Date: 2017-04-29 	 Number: 1110
TRACE - Date: 2017-04-30 	 Number: 874
TRACE - Date: 2017-05-01 	 Number: 2183
TRACE - Date: 2017-05-02 	 Number: 2311
TRACE - Date: 2017-05-03 	 Number: 1914
TRACE - Date: 2017-05-04 	 Number: 3
TRACE - Date: 2017-05-05 	 Number: 329
TRACE - Date: 2017-05-06 	 Number: 97
TRACE - Date: 2017-05-07 	 Number: 20
TRACE - Date: 2017-05-08 	 Number: 178
TRACE - Date: 2017-05-09 	 Number: 14
TRACE - Date: 2017-05-10 	 Number: 23
TRACE - Date: 2017-05-11 	 Number: 36
TRACE - Date: 2017-05-12 	 Number: 148
TRACE - Date: 2017-05-13 	 Number: 18
TRACE - Date: 2017-05-14 	 Number: 190
TRACE - Date: 2017-05-15 	 Number: 56
TRACE - Date: 2017-05-16 	 Number: 194
TRACE - Date: 2017-05-17 	 Number: 37
TRACE - Date: 2017-05-18 	 Number: 80
TRACE - Date: 2017-05-19 	 Number: 81
TRACE - Date: 2017-05-20 	 Number: 6
TRACE - Date: 2017-05-21 	 Number: 54
TRACE - Date: 2017-05-22 	 Number: 9
TRACE - Date: 2017-05-23 	 Number: 125
TRACE - Date: 2017-05-24 	 Number: 5
TRACE - Date: 2017-05-25 	 Number: 31
TRACE - Date: 2017-05-28 	 Number: 29
TRACE - Date: 2017-05-29 	 Number: 126
TRACE - Date: 2017-05-30 	 Number: 104
TRACE - Date: 2017-06-01 	 Number: 501
TRACE - Date: 2017-06-02 	 Number: 18
TRACE - Date: 2017-06-03 	 Number: 138
TRACE - Date: 2017-06-04 	 Number: 246
TRACE - Date: 2017-06-05 	 Number: 111
TRACE - Date: 2017-06-06 	 Number: 269
TRACE - Date: 2017-06-07 	 Number: 36
TRACE - Date: 2017-06-08 	 Number: 55
TRACE - Date: 2017-06-09 	 Number: 227
TRACE - Date: 2017-06-10 	 Number: 202
TRACE - Date: 2017-06-11 	 Number: 138
TRACE - Date: 2017-06-12 	 Number: 3204
TRACE - Date: 2017-06-13 	 Number: 56
TRACE - Date: 2017-06-14 	 Number: 14
TRACE - Date: 2017-06-15 	 Number: 436
TRACE - Date: 2017-06-16 	 Number: 65
TRACE - Date: 2017-06-17 	 Number: 2
TRACE - Date: 2017-06-19 	 Number: 180
TRACE - Date: 2017-06-20 	 Number: 3
TRACE - Date: 2017-06-21 	 Number: 220
TRACE - Date: 2017-06-22 	 Number: 567
TRACE - Date: 2017-06-23 	 Number: 35
TRACE - Date: 2017-06-24 	 Number: 23
TRACE - Date: 2017-06-25 	 Number: 43
TRACE - Date: 2017-06-26 	 Number: 503
TRACE - Date: 2017-06-27 	 Number: 91
TRACE - Date: 2017-06-28 	 Number: 15
TRACE - Date: 2017-06-29 	 Number: 105
TRACE - Date: 2017-07-01 	 Number: 271
TRACE - Date: 2017-07-02 	 Number: 57
TRACE - Date: 2017-07-03 	 Number: 60
TRACE - Date: 2017-07-04 	 Number: 7
TRACE - Date: 2017-07-05 	 Number: 413
TRACE - Date: 2017-07-06 	 Number: 14
TRACE - Date: 2017-07-07 	 Number: 11
TRACE - Date: 2017-07-08 	 Number: 12
TRACE - Date: 2017-07-09 	 Number: 73
TRACE - Date: 2017-07-10 	 Number: 353
TRACE - Date: 2017-07-11 	 Number: 526
TRACE - Date: 2017-07-12 	 Number: 13
TRACE - Date: 2017-07-13 	 Number: 9
TRACE - Date: 2017-07-14 	 Number: 755
TRACE - Date: 2017-07-16 	 Number: 17
TRACE - Date: 2017-07-17 	 Number: 194
TRACE - Date: 2017-07-18 	 Number: 72
TRACE - Date: 2017-07-19 	 Number: 12
TRACE - Date: 2017-07-20 	 Number: 91
TRACE - Date: 2017-07-21 	 Number: 164
TRACE - Date: 2017-07-22 	 Number: 2
TRACE - Date: 2017-07-23 	 Number: 41
TRACE - Date: 2017-07-24 	 Number: 361
TRACE - Date: 2017-07-25 	 Number: 77
TRACE - Date: 2017-07-26 	 Number: 2
TRACE - Date: 2017-07-27 	 Number: 90
TRACE - Date: 2017-07-28 	 Number: 2
TRACE - Date: 2017-07-29 	 Number: 54
TRACE - Date: 2017-07-30 	 Number: 170
TRACE - Date: 2017-07-31 	 Number: 305
TRACE - Date: 2017-08-01 	 Number: 27
TRACE - Date: 2017-08-02 	 Number: 38
TRACE - Date: 2017-08-03 	 Number: 40
TRACE - Date: 2017-08-04 	 Number: 100
TRACE - Date: 2017-08-05 	 Number: 160
TRACE - Date: 2017-08-06 	 Number: 4
TRACE - Date: 2017-08-09 	 Number: 8
TRACE - Date: 2017-08-10 	 Number: 67
TRACE - Date: 2017-08-11 	 Number: 174
TRACE - Date: 2017-08-12 	 Number: 97
TRACE - Date: 2017-08-13 	 Number: 25
TRACE - Date: 2017-08-14 	 Number: 11
TRACE - Date: 2017-08-15 	 Number: 149
TRACE - Date: 2017-08-16 	 Number: 146
TRACE - Date: 2017-08-17 	 Number: 236
TRACE - Date: 2017-08-18 	 Number: 60
TRACE - Date: 2017-08-19 	 Number: 158
TRACE - Date: 2017-08-20 	 Number: 598
TRACE - Date: 2017-08-21 	 Number: 24
TRACE - Date: 2017-08-22 	 Number: 10
TRACE - Date: 2017-08-23 	 Number: 48
TRACE - Date: 2017-08-24 	 Number: 77
TRACE - Date: 2017-08-25 	 Number: 55
TRACE - Date: 2017-08-26 	 Number: 4
TRACE - Date: 2017-08-28 	 Number: 137
TRACE - Date: 2017-08-29 	 Number: 946
TRACE - Date: 2017-08-30 	 Number: 303
TRACE - Date: 2017-08-31 	 Number: 169
TRACE - Date: 2017-09-01 	 Number: 49
TRACE - Date: 2017-09-02 	 Number: 146
TRACE - Date: 2017-09-03 	 Number: 29
TRACE - Date: 2017-09-04 	 Number: 404
TRACE - Date: 2017-09-05 	 Number: 220
TRACE - Date: 2017-09-06 	 Number: 29
TRACE - Date: 2017-09-08 	 Number: 101
TRACE - Date: 2017-09-09 	 Number: 53
TRACE - Date: 2017-09-10 	 Number: 42
TRACE - Date: 2017-09-11 	 Number: 217
TRACE - Date: 2017-09-13 	 Number: 184
TRACE - Date: 2017-09-14 	 Number: 1063
TRACE - Date: 2017-09-15 	 Number: 233
TRACE - Date: 2017-09-16 	 Number: 3
TRACE - Date: 2017-09-17 	 Number: 368
TRACE - Date: 2017-09-18 	 Number: 33
TRACE - Date: 2017-09-19 	 Number: 77
TRACE - Date: 2017-09-20 	 Number: 236
TRACE - Date: 2017-09-21 	 Number: 139
TRACE - Date: 2017-09-22 	 Number: 194
TRACE - Date: 2017-09-26 	 Number: 40
TRACE - Date: 2017-09-27 	 Number: 11
TRACE - Date: 2017-09-28 	 Number: 142
TRACE - Date: 2017-09-29 	 Number: 48
TRACE - Date: 2017-09-30 	 Number: 99
TRACE - Date: 2017-10-01 	 Number: 2
TRACE - Date: 2017-10-02 	 Number: 94
TRACE - Date: 2017-10-03 	 Number: 54
TRACE - Date: 2017-10-04 	 Number: 9
TRACE - Date: 2017-10-06 	 Number: 13
TRACE - Date: 2017-10-07 	 Number: 45
TRACE - Date: 2017-10-08 	 Number: 43
TRACE - Date: 2017-10-09 	 Number: 153
TRACE - Date: 2017-10-10 	 Number: 458
TRACE - Date: 2017-10-11 	 Number: 106
TRACE - Date: 2017-10-12 	 Number: 67
TRACE - Date: 2017-10-13 	 Number: 461
TRACE - Date: 2017-10-14 	 Number: 417
TRACE - Date: 2017-10-15 	 Number: 424
TRACE - Date: 2017-10-16 	 Number: 160
TRACE - Date: 2017-10-17 	 Number: 96
TRACE - Date: 2017-10-18 	 Number: 410
TRACE - Date: 2017-10-19 	 Number: 201
TRACE - Date: 2017-10-20 	 Number: 527
TRACE - Date: 2017-10-21 	 Number: 30
TRACE - Date: 2017-10-22 	 Number: 32
TRACE - Date: 2017-10-23 	 Number: 15
TRACE - Date: 2017-10-24 	 Number: 5359
TRACE - Date: 2017-10-25 	 Number: 12
TRACE - Date: 2017-10-27 	 Number: 6
TRACE - Date: 2017-10-28 	 Number: 6
TRACE - Date: 2017-10-29 	 Number: 169
TRACE - Date: 2017-10-30 	 Number: 86
TRACE - Date: 2017-10-31 	 Number: 34
TRACE - Date: 2017-11-01 	 Number: 54
TRACE - Date: 2017-11-02 	 Number: 151
TRACE - Date: 2017-11-03 	 Number: 136
TRACE - Date: 2017-11-04 	 Number: 86
TRACE - Date: 2017-11-05 	 Number: 84
TRACE - Date: 2017-11-06 	 Number: 425
TRACE - Date: 2017-11-07 	 Number: 16
TRACE - Date: 2017-11-08 	 Number: 80
TRACE - Date: 2017-11-09 	 Number: 76
TRACE - Date: 2017-11-10 	 Number: 29
TRACE - Date: 2017-11-11 	 Number: 2
TRACE - Date: 2017-11-12 	 Number: 16
TRACE - Date: 2017-11-13 	 Number: 76
TRACE - Date: 2017-11-14 	 Number: 402
TRACE - Date: 2017-11-15 	 Number: 364
TRACE - Date: 2017-11-16 	 Number: 70
TRACE - Date: 2017-11-17 	 Number: 83
TRACE - Date: 2017-11-18 	 Number: 4
TRACE - Date: 2017-11-19 	 Number: 44
TRACE - Date: 2017-11-21 	 Number: 130
TRACE - Date: 2017-11-22 	 Number: 11
TRACE - Date: 2017-11-23 	 Number: 76
TRACE - Date: 2017-11-24 	 Number: 202
TRACE - Date: 2017-11-25 	 Number: 178
TRACE - Date: 2017-11-26 	 Number: 13
TRACE - Date: 2017-11-27 	 Number: 61
TRACE - Date: 2017-11-28 	 Number: 28
TRACE - Date: 2017-11-29 	 Number: 22
TRACE - Date: 2017-11-30 	 Number: 22
TRACE - Date: 2017-12-01 	 Number: 1260
TRACE - Date: 2017-12-02 	 Number: 232
TRACE - Date: 2017-12-03 	 Number: 8
TRACE - Date: 2017-12-04 	 Number: 32
TRACE - Date: 2017-12-06 	 Number: 20
TRACE - Date: 2017-12-07 	 Number: 129
TRACE - Date: 2017-12-08 	 Number: 24
TRACE - Date: 2017-12-09 	 Number: 12
TRACE - Date: 2017-12-10 	 Number: 12
TRACE - Date: 2017-12-11 	 Number: 635
TRACE - Date: 2017-12-12 	 Number: 152
TRACE - Date: 2017-12-13 	 Number: 139
TRACE - Date: 2017-12-14 	 Number: 158
TRACE - Date: 2017-12-15 	 Number: 45
TRACE - Date: 2017-12-17 	 Number: 84
TRACE - Date: 2017-12-18 	 Number: 82
TRACE - Date: 2017-12-19 	 Number: 121
TRACE - Date: 2017-12-20 	 Number: 117
TRACE - Date: 2017-12-21 	 Number: 147
TRACE - Date: 2017-12-22 	 Number: 219
TRACE - Date: 2017-12-23 	 Number: 67
TRACE - Date: 2017-12-24 	 Number: 1
TRACE - Date: 2017-12-25 	 Number: 27
TRACE - Date: 2017-12-26 	 Number: 96
TRACE - Date: 2017-12-27 	 Number: 106
TRACE - Date: 2017-12-28 	 Number: 66
TRACE - Date: 2017-12-29 	 Number: 115
TRACE - Date: 2017-12-30 	 Number: 1070
TRACE - Date: 2017-12-31 	 Number: 10
TRACE - Date: 2018-01-01 	 Number: 50
TRACE - Date: 2018-01-02 	 Number: 185
TRACE - Date: 2018-01-03 	 Number: 110
TRACE - Date: 2018-01-04 	 Number: 38
TRACE - Date: 2018-01-05 	 Number: 16
TRACE - Date: 2018-01-06 	 Number: 151
